celide;Céli Dé;Céli Dé;Céli Dé;;Céli Dé;;;;;;;;;x
arian;Arian;Arian;Arian;;Arriano;;;;;;;;;x
hussite;Hussite;Hussite;Hussitischen;;Husita;;;;;;;;;x
sufi;Sufi;Sufi;Sufi;;Sufi;;;;;;;;;x
ismaili;Isma'ili;Isma'ili;Isma'ili;;Isma'ili;;;;;;;;;x
druidic_pagan;Druidic;Druidisme;Druidismus;;Druidísmo;;;;;;;;;x
germanic_pagan;Wodanaz;Wodanaz;Wodanaz;;Wodanaz;;;;;;;;;x
greek_pagan;Hellenismos;Hellenismos;Hellenismos;;Hellenismos;;;;;;;;;x
roman_pagan;Mos Maiorum;Mos Maiorum;Mos Maiorum;;Mos Maiorum;;;;;;;;;x
magyar_pagan;Táltoskövetö;Táltoskövetö;Táltoskövetö;;Táltoskövetö;;;;;;;;;x
basque_pagan;Marijarraitzaile;Marijarraitzaile;Marijarraitzaile;;Marijarraitzaile;;;;;;;;;x
latvian_pagan;Dievturïba;Dievturïba;Dievturïba;;Dievturïba;;;;;;;;;x
lappish_pagan;Noaidevuohta;Noaidevuohta;Noaidevuohta;;Noaidevuohta;;;;;;;;;x
armenian_pagan;Ditsovhetevord;Ditsovhetevord;Ditsovhetevord;;Ditsovhetevord;;;;;;;;;x
avar_pagan;Vainakh;Vainakh;Vainakh;;Vainakh;;;;;;;;;x
komi_pagan;Voipel'lov;Voipel'lov;Voipel'lov;;Voipel'lov;;;;;;;;;x
samoyedic_pagan;Tadibya;Tadibya;Tadibya;;Tadibya;;;;;;;;;x
estonian_pagan;Taarausk;Taarausk;Taarausk;;Taarausk;;;;;;;;;x
volga_pagan;Chimariy Yüla;Chimariy Yüla;Chimariy Yüla;;Chimariy Yüla;;;;;;;;;x
yugra_pagan;Torumiy;Torumiy;Torumiy;;Torumiy;;;;;;;;;x
africa_pagan;African Pagan;Païen l'Afrique;Afrikaner Heidnisch;;Pagano de África;;;;;;;;;x
guanchinet_pagan;Achamáni;Achamáni;Achamáni;;Achamánista;;;;;;;;;x
berber_pagan;Amanai;Amanai;Amanai;;Amanaista;;;;;;;;;x
vodun_pagan;Vodun;Vodun;Vodun;;Vodun;;;;;;;;;x
zurvanist;Zurvanist;Zurvanisme;Zurvanismus;;Zurvanísmo;;;;;;;;;x
steppe_pagan;Steppes Pagan;Païen des Steppes;Steppen Heidnisch;;Pagano de las Estepas;;;;;;;;;x
mesoamerican_pagan;Mesoamerican Pagan;Mésoaméricain Païenne;Mesoamerikanischen Heidnisch;;Mesoamericana Pagano;;;;;;;;;x
chinese_religion;Oriental Religions;Chinoise Païen;Chinesische Heidnisch;;Pagano Chino;;;;;;;;;x
shenjiao;Shénjiào;Shénjiào;Schénjiào;;Sénjiào;;;;;;;;;x
quanzhen;Quanzhen Dào (All True Taoist);Quanzhen Dào (Tout Taoïste Vrai);Quanzhen Dào (Alle Wahren Taoistischen);;Quanzhen Dào (Todos Taoísta Verdadero);;;;;;;;;x
shangqing;Shangqing Dào (Supreme Clarity Taoist);Shangqing Dào (Taoïste Clarté Suprême);Shangqing Dào (Obersten Klarheit Taoistischen);;Shangqing Dào (Claridad Suprema Taoísta);;;;;;;;;x
confucian;Confucian;Confucian;Confucian;Confucian;Confucian;;;;;;;;;x
shingyo;Shingyo;Shingyo;Schingyo;;Singyo;;;;;;;;;x
nihon_shinto;Shinto;Shinto;Schinto;;Sinto;;;;;;;;;x
nihon_shinto_DESC;Shinto means the way of the gods. Shintoism is an Ancient religion of Japan. It started at least as long ago as 1000 B.C.E. but is still practiced today by at least five million people. The followers of Shintoism believe that spiritual powers exist in the natural world.;;;;;;;;;;;;;x
ainu_pantheism;Old Katunkamuy;Old Katunkamuï;Old Katunkamui;;Old Katunkamuí;;;;;;;;;x
ainu_pantheism_reformed;Katunkamuy;Katunkamuï;Katunkamui;;Katunkamuí;;;;;;;;;x
ryukyu_shinto;Koshinto;Koshinto;Koschinto;;Kosinto;;;;;;;;;x
melanesian_religion;Imunu;Imunu;Imunu;;Imunu;;;;;;;;;x
taiwanese_religion;Inibs;Inibs;Inibs;;Inibs;;;;;;;;;x
philippine_religion;Anito;Anito;Anito;;Anito;;;;;;;;;x
bornean_religion;Kaharingan;Kaharingan;Kaharingan;;Kaharingan;;;;;;;;;x
sulawesi_religion;Aluk;Aluk;Aluk;;Aluk;;;;;;;;;x
flores_religion;Marapu;Marapu;Marapu;;Marapu;;;;;;;;;x
java_religion;Kejawen;Kejawen;Kejawen;;Kejawen;;;;;;;;;x
sumatran_religion;Malim;Malim;Malim;;Malim;;;;;;;;;x
malagasy_religion;Andrianerinerinan;Andrianerinerinan;Andrianerinerinan;;Andrianerinerinan;;;;;;;;;x
qabbalah;Qabbalah;Qabbalah;Qabbalah;;Qabbalah;;;;;;;;;x
jurchen_pagan;Abkadahambi;Abkadahambi;Abkadahambi;;Abkadahambi;;;;;;;;;x
convert_to_insular;Convert to the Celtic Rite;Convert to the Celtic Rite;Convert to the Celtic Rite;;Convert to the Celtic Rite;;;;;;;;;x
convert_to_insular_adj;Convert back to the old traditions and rites of Insular Christianity.;Convert back to the old traditions and rites of Insular Christianity.;Convert back to the old traditions and rites of Insular Christianity.;;Convert back to the old traditions and rites of Insular Christianity.;;;;;;;;;x
jurchen_pagan_reformed;Reformed Abkadahambi;Reformed Abkadahambi;Reformed Abkadahambi;Reformed Abkadahambi;Reformed Abkadahambi;;;;;;;;;x
germanic_pagan_reformed;Reformed Wodanaz;Reformed Wodanaz;Reformed Wodanaz;Reformed Wodanaz;Reformed Wodanaz;;;;;;;;;x
magyar_pagan_reformed;Reformed Táltoskövetö;Reformed Táltoskövetö;Reformed Táltoskövetö;Reformed Táltoskövetö;Reformed Táltoskövetö;;;;;;;;;x
basque_pagan_reformed;Reformed Marijarraitzaile;Reformed Marijarraitzaile;Reformed Marijarraitzaile;Reformed Marijarraitzaile;Reformed Marijarraitzaile;;;;;;;;;x
lappish_pagan_reformed;Reformed Noaidevuohta;Reformed Noaidevuohta;Reformed Noaidevuohta;Reformed Noaidevuohta;Reformed Noaidevuohta;;;;;;;;;x
komi_pagan_reformed;Reformed Voipel'lov;Reformed Voipel'lov;Reformed Voipel'lov;Reformed Voipel'lov;Reformed Voipel'lov;;;;;;;;;x
samoyedic_pagan_reformed;Reformed Tadibya;Reformed Tadibya;Reformed Tadibya;Reformed Tadibya;Reformed Tadibya;;;;;;;;;x
estonian_pagan_reformed;Reformed Taarausk;Reformed Taarausk;Reformed Taarausk;Reformed Taarausk;Reformed Taarausk;;;;;;;;;x
volga_pagan_reformed;Reformed Chimariy Yüla;Reformed Chimariy Yüla;Reformed Chimariy Yüla;Reformed Chimariy Yüla;Reformed Chimariy Yüla;;;;;;;;;x
yugra_pagan_reformed;Reformed Torumiy;Reformed Torumiy;Reformed Torumiy;Reformed Torumiy;Reformed Torumiy;;;;;;;;;x
guanchinet_pagan_reformed;Reformed Achamáni;Reformed Achamáni;Reformed Achamáni;Reformed Achamáni;Reformed Achamáni;;;;;;;;;x
berber_pagan_reformed;Reformed Amanai;Reformed Amanai;Reformed Amanai;Reformed Amanai;Reformed Amanai;;;;;;;;;x
vodun_pagan_reformed;Reformed Vodun;Reformed Vodun;Reformed Vodun;Reformed Vodun;Reformed Vodun;;;;;;;;;x
ainu_pantheism_reformed;Reformed Katunkamuy;Reformed Katunkamuy;Reformed Katunkamuy;Reformed Katunkamuy;Reformed Katunkamuy;;;;;;;;;x
bon_reformed;Reformed Bön;Reformed Bön;Reformed Bön;Reformed Bön;Reformed Bön;;;;;;;;;x
melanesian_religion_reformed;Reformed Imunu;Reformed Imunu;Reformed Imunu;Reformed Imunu;Reformed Imunu;;;;;;;;;x
taiwanese_religion_reformed;Reformed Inibs;Reformed Inibs;Reformed Inibs;Reformed Inibs;Reformed Inibs;;;;;;;;;x
philippine_religion_reformed;Reformed Anito;Reformed Anito;Reformed Anito;Reformed Anito;Reformed Anito;;;;;;;;;x
bornean_religion_reformed;Reformed Kaharingan;Reformed Kaharingan;Reformed Kaharingan;Reformed Kaharingan;Reformed Kaharingan;;;;;;;;;x
