d_comarbae;Iona;Iona;Iona;;Iona;;;;;;;;;x
d_comarbae_adj;Comarbaeal;comarbaeal;Comarbaealisch;;Comarbaeal;;;;;;;;;x
COMARBAE_COLUM_CILLE;Comarbae;Comarbae;Comarbae;;Comarbae;;;;;;;;;x
COMARBAE_COLUM_CILLE_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
temple_baron_guanchinet_pagan;Kanku;Kanku;Kanku;;Kanku;;;;;;;;;x
temple_count_guanchinet_pagan;Faykan;Faykan;Faykan;;Faykan;;;;;;;;;x
temple_count_female_guanchinet_pagan;Maguada;Maguada;Maguada;;Maguada;;;;;;;;;x
temple_duke_guanchinet_pagan;Guadameñe;Guadameñe;Guadameñe;;Guadameñe;;;;;;;;;x
temple_county_of_mahayana;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;;;;;;;;;x
temple_baron_mahayana;Monk;Monk;Monk;Monk;Monk;;;;;;;;;x
temple_count_nihon_shinto;Daiguji;Daiguji;Daiguji;Daiguji;Daiguji;;;;;;;;;x
temple_count_female_nihon_shinto;Daiguji;Daiguji;Daiguji;Daiguji;Daiguji;;;;;;;;;x
temple_county_of_nihon_shinto;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;;;;;;;;;x
temple_baron_nihon_shinto;Guji;Guji;Guji;Guji;Guji;;;;;;;;;x
temple_baron_female_nihon_shinto;Miko;Miko;Miko;Miko;Miko;;;;;;;;;x
temple_barony_of_nihon_shinto;Shrine of;Shrine of;Shrine of;Shrine of;Shrine of;;;;;;;;;x
temple_count_japanese_buddhism;Daisojo;Daisojo;Daisojo;Daisojo;Daisojo;;;;;;;;;x
temple_count_female_japanese_buddhism;Ama Gozen;Ama Gozen;Ama Gozen;Ama Gozen;Ama Gozen;;;;;;;;;x
temple_county_of_japanese_buddhism;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;Holy Domain of;;;;;;;;;x
temple_baron_japanese_buddhism;Sojo;Sojo;Sojo;Sojo;Sojo;;;;;;;;;x
temple_baron_female_japanese_buddhism;Ama;Ama;Ama;Ama;Ama;;;;;;;;;x
temple_barony_of_japanese_buddhism;Temple of;Temple of;Temple of;Temple of;Temple of;;;;;;;;;x
COMARBAE_COLUM_CILLE;Comarbae;Comarbae;Comarbae;;Comarbae;;;;;;;;;x
COMARBAE_COLUM_CILLE_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
PATRIARCH;Patriarch;Patriarche;Patriarch;;Patriarca;;;;;;;;;x
PATRIARCH_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
POPE_AND_PATRIARCH;Pope and Patriarch;Pape et le Patriarche;Papst und Patriarch;;El Papa y el Patriarca;;;;;;;;;x
POPE_AND_PATRIARCH_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
PATRIARCH_AND_CATHOLICOS;Patriarch and Catholicos;Patriarche et Catholicos;Patriarch und Katholikos;;Patriarca y Católicos;;;;;;;;;x
PATRIARCH_AND_CATHOLICOS_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
CATHOLICOS;Catholicos;Catholicos;Katholikos;;Católicos;;;;;;;;;x
CATHOLICOS_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
ABUN;Abun;Abun;Abun;;Abun;;;;;;;;;x
ABUN_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
d_comarbae;Iona;Iona;Iona;;Iona;;;;;;;;;x
d_comarbae_adj;Comarbaeal;comarbaeal;Comarbaealisch;;Comarbaeal;;;;;;;;;x
k_antioch_patriarch;The Ecumenical Patriarchy of Antioch;Le Patriarcat œcuménique d'Antioche;Das Ökumenische Patriarchat von Antiochien;;El Patriarcado Ecuménico de Antioquía;;;;;;;;;x
k_antioch_patriarch_adj;Patriarchal;patriarcal;Patriarchalisch;;Patriarcal;;;;;;;;;x
k_antioch_syriac;The Syriac Patriarchy of Antioch;Le patriarcat syriaque d'Antioche;Das Syrische Patriarchat von Antiochien;;El patriarcado sirio de Antioquía;;;;;;;;;x
k_antioch_syriac_adj;Patriarchal;patriarcal;Patriarchalisch;;Patriarcal;;;;;;;;;x
d_latin_antioch;The Latin Patriarchy of Antioch;Le patriarcat latin d'Antioche;Das lateinische Patriarchat von Antiochien;;El patriarcado latino de Antioquía;;;;;;;;;x
d_latin_antioch_adj;Patriarchal;patriarcal;Patriarchalisch;;Patriarcal;;;;;;;;;x
k_jerusalem_patriarch;The Ecumenical Patriarchy of Jerusalem;Le Patriarcat œcuménique de Jérusalem;Das Ökumenische Patriarchat von Jerusalem;;El Patriarcado Ecuménico de Jerusalén;;;;;;;;;x
k_jerusalem_patriarch_adj;Patriarchal;patriarcal;Patriarchalisch;;Patriarcal;;;;;;;;;x
d_latin_jerusalem;The Latin Patriarchy of Jerusalem;Le patriarcat latin d'Jérusalem;Das lateinische Patriarchat von Jerusalem;;El patriarcado latino de Jerusalén;;;;;;;;;x
