EVTDESC_US_1;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Silla.;;;;;;;;;;;;;x
EVTOPTA_US_1;A more unified Korean culture has emerged!;;;;;;;;;;;;;x
EVTDESC_US_2;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Baekje.;;;;;;;;;;;;;x
EVTOPTA_US_2;A more unified Korean culture has emerged!;;;;;;;;;;;;;x
EVTDESC_US_3;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Goguryeo.;;;;;;;;;;;;;x
EVTOPTA_US_3;A more unified Korean culture has emerged!;;;;;;;;;;;;;x
EVTDESC_US_4;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Buyeo.;;;;;;;;;;;;;x
EVTOPTA_US_4;A more unified Korean culture has emerged!;;;;;;;;;;;;;x
EVTDESC_US_5;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Mohe.;;;;;;;;;;;;;x
EVTOPTA_US_5;The Jurchens have arisen!;;;;;;;;;;;;;x
EVTDESC_US_6;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Wangozi.;;;;;;;;;;;;;x
EVTOPTA_US_6;The Swahili have arisen!;;;;;;;;;;;;;x
EVTDESC_US_7;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Vazimba.;;;;;;;;;;;;;x
EVTOPTA_US_7;The Malagasy have arisen!;;;;;;;;;;;;;x
