e_tanganyika_malawi;Tanganyika-Malawi;;;;;;;;;;;;;x
e_tanganyika_malawi_adj;Tanganyika-Malawi;;;;;;;;;;;;;x
k_malawi_nyasa;Malawi-Nyasa;;;;;;;;;;;;;x
k_malawi_nyasa_adj;Malawi-Nyasa;;;;;;;;;;;;;x
d_maravi;Maravi;;;;;;;;;;;;;x
d_maravi_adj;Maravi;;;;;;;;;;;;;x
c_nkope;Nkope;;;;;;;;;;;;;x
c_nkope_adj;Nkope;;;;;;;;;;;;;x
b_nkope;Nkope;;;;;;;;;;;;;x
b_nanyangu;Nanyangu;;;;;;;;;;;;;x
b_kapeni;Kapeni;;;;;;;;;;;;;x
b_nankumba;Nankumba;;;;;;;;;;;;;x
b_nkopola;Nkopola;;;;;;;;;;;;;x
b_nankhwali;Nankhwali;;;;;;;;;;;;;x
b_chembe;Chembe;;;;;;;;;;;;;x
b_lizulu;Lizulu;;;;;;;;;;;;;x
c_zomba;Zomba;;;;;;;;;;;;;x
c_zomba_adj;Zomba;;;;;;;;;;;;;x
b_zomba;Zomba;;;;;;;;;;;;;x
b_namichimba;Namichimba;;;;;;;;;;;;;x
b_domasi;Domasi;;;;;;;;;;;;;x
b_malosa;Malosa;;;;;;;;;;;;;x
b_machinga;Machinga;;;;;;;;;;;;;x
b_phalombe;Phalombe;;;;;;;;;;;;;x
b_liwonde;Liwonde;;;;;;;;;;;;;x
b_nsanama;Nsanama;;;;;;;;;;;;;x
c_thandwe_maravi;Thandwe;;;;;;;;;;;;;x
c_thandwe_maravi_adj;Thandwe;;;;;;;;;;;;;x
b_thandwe_maravi;Thandwe;;;;;;;;;;;;;x
b_chimuka;Chimuka;;;;;;;;;;;;;x
b_chasya;Chasya;;;;;;;;;;;;;x
b_kasuwa;Kasuwa;;;;;;;;;;;;;x
b_petauke;Petauke;;;;;;;;;;;;;x
b_chataika;Chataika;;;;;;;;;;;;;x
b_chassa;Chassa;;;;;;;;;;;;;x
b_chilembwe;Chilembwe;;;;;;;;;;;;;x
c_kamnama;Kamnama;;;;;;;;;;;;;x
c_kamnama_adj;Kamnama;;;;;;;;;;;;;x
b_kamnama;Kamnama;;;;;;;;;;;;;x
b_chintheche;Chintheche;;;;;;;;;;;;;x
b_chikangawa;Chikangawa;;;;;;;;;;;;;x
b_mzimba;Mzimba;;;;;;;;;;;;;x
b_manyamula;Manyamula;;;;;;;;;;;;;x
b_edingeni;Edingeni;;;;;;;;;;;;;x
b_chasefu;Chasefu;;;;;;;;;;;;;x
b_lundazi;Lundazi;;;;;;;;;;;;;x
d_yao_nhanja;Yao-Nhanja;;;;;;;;;;;;;x
d_yao_nhanja_adj;Yao-Nhanja;;;;;;;;;;;;;x
c_yao;Yao;;;;;;;;;;;;;x
c_yao_adj;Yao;;;;;;;;;;;;;x
b_yao_yao;Yao;;;;;;;;;;;;;x
b_milepa;Milepa;;;;;;;;;;;;;x
b_matchendje;Matchendje;;;;;;;;;;;;;x
b_kandulu;Kandulu;;;;;;;;;;;;;x
b_macalonge;Macalonge;;;;;;;;;;;;;x
b_chamba_yao;Chamba;;;;;;;;;;;;;x
b_mataca;Mataca;;;;;;;;;;;;;x
b_valadim;Valadim;;;;;;;;;;;;;x
c_nhanja;Nhanja;;;;;;;;;;;;;x
c_nhanja_adj;Nhanja;;;;;;;;;;;;;x
b_nhanja;Nhanja;;;;;;;;;;;;;x
b_lichinga;Lichinga;;;;;;;;;;;;;x
b_meponda;Meponda;;;;;;;;;;;;;x
b_mirango;Mirango;;;;;;;;;;;;;x
b_metangula;Metangula;;;;;;;;;;;;;x
b_maniamba;Maniamba;;;;;;;;;;;;;x
b_demba;Demba;;;;;;;;;;;;;x
b_ajabo;Ajabo;;;;;;;;;;;;;x
c_kilombero;Kilombero;;;;;;;;;;;;;x
c_kilombero_adj;Kilombero;;;;;;;;;;;;;x
b_kilombero;Kilombero;;;;;;;;;;;;;x
b_songea;Songea;;;;;;;;;;;;;x
b_kitanda;Kitanda;;;;;;;;;;;;;x
b_mbinga;Mbinga;;;;;;;;;;;;;x
b_ludewa;Ludewa;;;;;;;;;;;;;x
b_liganga;Liganga;;;;;;;;;;;;;x
b_madunda;Madunda;;;;;;;;;;;;;x
b_miangali;Miangali;;;;;;;;;;;;;x
d_makwa_lomwe;Makwa-Lomwe;;;;;;;;;;;;;x
d_makwa_lomwe_adj;Makwa-Lomwe;;;;;;;;;;;;;x
c_makwa;Makwa;;;;;;;;;;;;;x
c_makwa_adj;Makwa;;;;;;;;;;;;;x
b_makwa;Makwa;;;;;;;;;;;;;x
b_montepuez;Montepuez;;;;;;;;;;;;;x
b_napaha;Napaha;;;;;;;;;;;;;x
b_morrola;Morrola;;;;;;;;;;;;;x
b_culue;Culue;;;;;;;;;;;;;x
b_balama;Balama;;;;;;;;;;;;;x
b_nungo;Nungo;;;;;;;;;;;;;x
b_marrupa;Marrupa;;;;;;;;;;;;;x
c_lomwe;Lomwe;;;;;;;;;;;;;x
c_lomwe_adj;Lomwe;;;;;;;;;;;;;x
b_lomwe;Lomwe;;;;;;;;;;;;;x
b_nampula;Nampula;;;;;;;;;;;;;x
b_mocuburi;Mocuburi;;;;;;;;;;;;;x
b_namina;Namina;;;;;;;;;;;;;x
b_baciano;Baciano;;;;;;;;;;;;;x
b_ribaue;Ribaue;;;;;;;;;;;;;x
