PROV1995;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;Gumba;x
PROV1996;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;Bargu;x
PROV1997;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;Sabaki;x
PROV1998;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;Tato;x
PROV1999;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;Ergun;x
PROV2000;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;Hulun Buir;x
PROV2001;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;Dadog;x
PROV2002;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;Hatsa;x
PROV2003;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;Asa;x
PROV2004;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;Asu;x
PROV2005;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;Kwa'dza;x
PROV2006;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;Elyu Ene;x
PROV2007;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;Iramba;x
PROV2008;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;Angara;x
PROV2009;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;Dab-lit;x
PROV2010;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;Lungh-tungh;x
PROV2011; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox; 'yoi-chriox;x
PROV2012;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;Kianh-chjang;x
PROV2013;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;Ghuad-chjyen;x
PROV2014;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;Liu-thuungh;x
