#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abaco;Abaco;Abaco;Abaco;;;;;;;;;;;x
c_abaco_adj;Abacian;;abacisch;;;;;;;;;;;x
c_abaj_takalik;Abaj Takalik;Abaj Takalik;Abaj Takalik;;;;;;;;;;;x
c_abaj_takalik_adj;Abaj Takalikian;;abaj takalikisch;;;;;;;;;;;x
c_abancay;Abancay;Abancay;Abancay;;;;;;;;;;;x
c_abancay_adj;Abancaian;;abancaisch;;;;;;;;;;;x
c_abitibi;Abitibi;Abitibi;Abitibi;;;;;;;;;;;x
c_abitibi_adj;Abitibian;;abitibisch;;;;;;;;;;;x
c_absaroka;Absaroka;Absaroka;Absaroka;;;;;;;;;;;x
c_absaroka_adj;Absarokian;;absarokisch;;;;;;;;;;;x
c_abuna;Abuna;Abuna;Abuna;;;;;;;;;;;x
c_abuna_adj;Abunian;;abunisch;;;;;;;;;;;x
c_acapulco;Acapulco;Acapulco;Acapulco;;;;;;;;;;;x
c_acapulco_adj;Acapulcian;;acapulcisch;;;;;;;;;;;x
c_acapulco_coast;Acapulco Coast;Acapulco Coast;Acapulco Coast;;;;;;;;;;;x
c_acapulco_coast_adj;Acapulco Coastian;;acapulco coastisch;;;;;;;;;;;x
c_acayucan;Acayucan;Acayucan;Acayucan;;;;;;;;;;;x
c_acayucan_adj;Acayucanian;;acayucanisch;;;;;;;;;;;x
c_achagua;Achagua;Achagua;Achagua;;;;;;;;;;;x
c_achagua_adj;Achagian;;achagisch;;;;;;;;;;;x
c_acolapisa;Acolapisa;Acolapisa;Acolapisa;;;;;;;;;;;x
c_acolapisa_adj;Acolapisian;;acolapisisch;;;;;;;;;;;x
c_acolhuacan;Acolhuacan;Acolhuacan;Acolhuacan;;;;;;;;;;;x
c_acolhuacan_adj;Acolhuacanian;;acolhuacanisch;;;;;;;;;;;x
c_aconcagua;Aconcagua;Aconcagua;Aconcagua;;;;;;;;;;;x
c_aconcagua_adj;Aconcagian;;aconcagisch;;;;;;;;;;;x
c_acuna;Acuna;Acuna;Acuna;;;;;;;;;;;x
c_acuna_adj;Acunian;;acunisch;;;;;;;;;;;x
c_adai;Adai;Adai;Adai;;;;;;;;;;;x
c_adai_adj;Adian;;adisch;;;;;;;;;;;x
c_adirondack;Adirondack;Adirondack;Adirondack;;;;;;;;;;;x
c_adirondack_adj;Adirondackian;;adirondackisch;;;;;;;;;;;x
c_aguacane;Aguacane;Aguacane;Aguacane;;;;;;;;;;;x
c_aguacane_adj;Aguacanian;;aguacanisch;;;;;;;;;;;x
c_aguanish;Aguanish;Aguanish;Aguanish;;;;;;;;;;;x
c_aguanish_adj;Aguanishian;;aguanishisch;;;;;;;;;;;x
c_aguaro;Aguaro;Aguaro;Aguaro;;;;;;;;;;;x
c_aguaro_adj;Aguarian;;aguarisch;;;;;;;;;;;x
c_aguathuna;Aguathuna;Aguathuna;Aguathuna;;;;;;;;;;;x
c_aguathuna_adj;Aguathunian;;aguathunisch;;;;;;;;;;;x
c_ahgwahching;Ahgwahching;Ahgwahching;Ahgwahching;;;;;;;;;;;x
c_ahgwahching_adj;Ahgwahchingian;;ahgwahchingisch;;;;;;;;;;;x
c_ahuachapan;Ahuachapan;Ahuachapan;Ahuachapan;;;;;;;;;;;x
c_ahuachapan_adj;Ahuachapanian;;ahuachapanisch;;;;;;;;;;;x
c_ais;Ais;Ais;Ais;;;;;;;;;;;x
c_ais_adj;Aisian;;aisisch;;;;;;;;;;;x
c_ajaruco;Ajaruco;Ajaruco;Ajaruco;;;;;;;;;;;x
c_ajaruco_adj;Ajarucian;;ajarucisch;;;;;;;;;;;x
c_ajaruco_coast;Ajaruco Coast;Ajaruco Coast;Ajaruco Coast;;;;;;;;;;;x
c_ajaruco_coast_adj;Ajaruco Coastian;;ajaruco coastisch;;;;;;;;;;;x
c_ajummaawi;Ajúmmááwí;Ajúmmááwí;Ajúmmááwí;;;;;;;;;;;x
c_ajummaawi_adj;Ajúmmááwíian;;ajúmmááwíisch;;;;;;;;;;;x
c_akaitikka;Akaitikka;Akaitikka;Akaitikka;;;;;;;;;;;x
c_akaitikka_adj;Akaitikkian;;akaitikkisch;;;;;;;;;;;x
c_akokisa;Akokisa;Akokisa;Akokisa;;;;;;;;;;;x
c_akokisa_adj;Akokisian;;akokisisch;;;;;;;;;;;x
c_akukameskesich;Akukameskesich;Akukameskesich;Akukameskesich;;;;;;;;;;;x
c_akukameskesich_adj;Akukameskesichian;;akukameskesichisch;;;;;;;;;;;x
c_alabama_river;Alabama River;Alabama River;Alabama River;;;;;;;;;;;x
c_alabama_river_adj;Alabama Riverian;;alabama riverisch;;;;;;;;;;;x
c_algoma;Algoma;Algoma;Algoma;;;;;;;;;;;x
c_algoma_adj;Algomian;;algomisch;;;;;;;;;;;x
c_algonac;Algonac;Algonac;Algonac;;;;;;;;;;;x
c_algonac_adj;Algonacian;;algonacisch;;;;;;;;;;;x
c_aliquippa;Aliquippa;Aliquippa;Aliquippa;;;;;;;;;;;x
c_aliquippa_adj;Aliquippian;;aliquippisch;;;;;;;;;;;x
c_allegany;Allegany;Allegany;Allegany;;;;;;;;;;;x
c_allegany_adj;Alleganian;;alleganisch;;;;;;;;;;;x
c_alliouagana;Alliouagana;Alliouagana;Alliouagana;;;;;;;;;;;x
c_alliouagana_adj;Alliouaganian;;alliouaganisch;;;;;;;;;;;x
c_aloubaera;Aloubaéra;Aloubaéra;Aloubaéra;;;;;;;;;;;x
c_aloubaera_adj;Aloubaérian;;aloubaérisch;;;;;;;;;;;x
c_altamura;Altamura;Altamura;Altamura;;;;;;;;;;;x
c_altamura_adj;Altamurian;;altamurisch;;;;;;;;;;;x
c_altun_ha;Altun Ha;Altun Ha;Altun Ha;;;;;;;;;;;x
c_altun_ha_adj;Altun Hian;;altun hisch;;;;;;;;;;;x
c_amapa;Amapá;Amapá;Amapá;;;;;;;;;;;x
c_amapa_adj;Amapáian;;amapáisch;;;;;;;;;;;x
c_amaqua;Amaqua;Amaqua;Amaqua;;;;;;;;;;;x
c_amaqua_adj;Amaqian;;amaqisch;;;;;;;;;;;x
c_amazonia;Amazonia;Amazonia;Amazonia;;;;;;;;;;;x
c_amazonia_adj;Amazonian;;amazonisch;;;;;;;;;;;x
c_ambato;Ambato;Ambato;Ambato;;;;;;;;;;;x
c_ambato_adj;Ambatian;;ambatisch;;;;;;;;;;;x
c_ammitaalasshe;Ammitaalasshé;Ammitaalasshé;Ammitaalasshé;;;;;;;;;;;x
c_ammitaalasshe_adj;Ammitaalasshéian;;ammitaalasshéisch;;;;;;;;;;;x
c_ampiyacu;Ampiyacu;Ampiyacu;Ampiyacu;;;;;;;;;;;x
c_ampiyacu_adj;Ampiyacian;;ampiyacisch;;;;;;;;;;;x
c_anaco;Anaco;Anaco;Anaco;;;;;;;;;;;x
c_anaco_adj;Anacian;;anacisch;;;;;;;;;;;x
c_anahuac;Anáhuac;Anáhuac;Anáhuac;;;;;;;;;;;x
c_anahuac_adj;Anáhuacian;;anáhuacisch;;;;;;;;;;;x
c_anaya;Anaya;Anaya;Anaya;;;;;;;;;;;x
c_anaya_adj;Anayian;;anayisch;;;;;;;;;;;x
c_anhaica;Anhaica;Anhaica;Anhaica;;;;;;;;;;;x
c_anhaica_adj;Anhaician;;anhaicisch;;;;;;;;;;;x
c_anilco;Anilco;Anilco;Anilco;;;;;;;;;;;x
