#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aanaawenh;Aan'aawenh;Aan'aawenh;Aan'aawenh;;;;;;;;;;;x
b_aanaawenh_adj;Aan'aawenhian;;aan'aawenhisch;;;;;;;;;;;x
b_aanimaanong;Aanimaanong;Aanimaanong;Aanimaanong;;;;;;;;;;;x
b_aanimaanong_adj;Aanimaanongian;;aanimaanongisch;;;;;;;;;;;x
b_abaco;Abaco;Abaco;Abaco;;;;;;;;;;;x
b_abaco_adj;Abacian;;abacisch;;;;;;;;;;;x
b_abaj_takalik;Abaj Takalik;Abaj Takalik;Abaj Takalik;;;;;;;;;;;x
b_abaj_takalik_adj;Abaj Takalikian;;abaj takalikisch;;;;;;;;;;;x
b_abancay;Abancay;Abancay;Abancay;;;;;;;;;;;x
b_abancay_adj;Abancaian;;abancaisch;;;;;;;;;;;x
b_abeika;Abeika;Abeika;Abeika;;;;;;;;;;;x
b_abeika_adj;Abeikian;;abeikisch;;;;;;;;;;;x
b_abhika;Abhika;Abhika;Abhika;;;;;;;;;;;x
b_abhika_adj;Abhikian;;abhikisch;;;;;;;;;;;x
b_abitibi;Abitibi;Abitibi;Abitibi;;;;;;;;;;;x
b_abitibi_adj;Abitibian;;abitibisch;;;;;;;;;;;x
b_absaroka;Absaroka;Absaroka;Absaroka;;;;;;;;;;;x
b_absaroka_adj;Absarokian;;absarokisch;;;;;;;;;;;x
b_abuna;Abuna;Abuna;Abuna;;;;;;;;;;;x
b_abuna_adj;Abunian;;abunisch;;;;;;;;;;;x
b_acanceh;Acanceh;Acanceh;Acanceh;;;;;;;;;;;x
b_acanceh_adj;Acancehian;;acancehisch;;;;;;;;;;;x
b_acapulco;Acapulco;Acapulco;Acapulco;;;;;;;;;;;x
b_acapulco_adj;Acapulcian;;acapulcisch;;;;;;;;;;;x
b_acayucan;Acayucan;Acayucan;Acayucan;;;;;;;;;;;x
b_acayucan_adj;Acayucanian;;acayucanisch;;;;;;;;;;;x
b_achagua;Achagua;Achagua;Achagua;;;;;;;;;;;x
b_achagua_adj;Achagian;;achagisch;;;;;;;;;;;x
b_achsinnink;Achsinnink;Achsinnink;Achsinnink;;;;;;;;;;;x
b_achsinnink_adj;Achsinninkian;;achsinninkisch;;;;;;;;;;;x
b_acolapisa;Acolapisa;Acolapisa;Acolapisa;;;;;;;;;;;x
b_acolapisa_adj;Acolapisian;;acolapisisch;;;;;;;;;;;x
