PROV1;Wawiyusis;Wawiyusis;Wawiyusis;;Wawiyusis;;;;;;;;;x
PROV2;Shibogama;Shibogama;Shibogama;;Shibogama;;;;;;;;;x
PROV3;Wabana;Wabana;Wabana;;Wabana;;;;;;;;;x
PROV4;Toulinquet;Toulinquet;Toulinquet;;Toulinquet;;;;;;;;;x
PROV5;Demas;Demas;Demas;;Demas;;;;;;;;;x
PROV6;Manitowoc;Manitowoc;Manitowoc;;Manitowoc;;;;;;;;;x
PROV7;Shanaw;Shanaw;Shanaw;;Shanaw;;;;;;;;;x
PROV8;Nonos;Nonos;Nonos;;Nonos;;;;;;;;;x
PROV9;Freydis;Freydis;Freydis;;Freydis;;;;;;;;;x
PROV10;Moomesh;Moomesh;Moomesh;;Moomesh;;;;;;;;;x
PROV11;Doodebew;Doodebew;Doodebew;;Doodebew;;;;;;;;;x
PROV12;Leifsbúðir;Leifsbúðir;Leifsbúðir;;Leifsbúðir;;;;;;;;;x
PROV13;Thorvald;Thorvald;Thorvald;;Thorvald;;;;;;;;;x
PROV14;Meelpeag;Meelpeag;Meelpeag;;Meelpeag;;;;;;;;;x
PROV15;Thorstein;Thorstein;Thorstein;;Thorstein;;;;;;;;;x
PROV16;Aguathuna;Aguathuna;Aguathuna;;Aguathuna;;;;;;;;;x
PROV17;Mattawa;Mattawa;Mattawa;;Mattawa;;;;;;;;;x
PROV18;Makada;Makada;Makada;;Makada;;;;;;;;;x
PROV19;Wikwemikong;Wikwemikong;Wikwemikong;;Wikwemikong;;;;;;;;;x
PROV20;Penetanguishene;Penetanguishene;Penetanguishene;;Penetanguishene;;;;;;;;;x
PROV21;Algonac;Algonac;Algonac;;Algonac;;;;;;;;;x
PROV22;Mississauga;Mississauga;Mississauga;;Mississauga;;;;;;;;;x
PROV23;Ohsweken;Ohsweken;Ohsweken;;Ohsweken;;;;;;;;;x
PROV24;Scugog;Scugog;Scugog;;Scugog;;;;;;;;;x
PROV25;Tyendinaga;Tyendinaga;Tyendinaga;;Tyendinaga;;;;;;;;;x
PROV26;Toronto;Toronto;Toronto;;Toronto;;;;;;;;;x
PROV27;Komoka;Komoka;Komoka;;Komoka;;;;;;;;;x
PROV28;Bkejwanong;Bkejwanong;Bkejwanong;;Bkejwanong;;;;;;;;;x
PROV29;Oshawa;Oshawa;Oshawa;;Oshawa;;;;;;;;;x
PROV30;Nipissing;Nipissing;Nipissing;;Nipissing;;;;;;;;;x
PROV31;Saugeen;Saugeen;Saugeen;;Saugeen;;;;;;;;;x
PROV32;Petawawa;Petawawa;Petawawa;;Petawawa;;;;;;;;;x
PROV33;Thorfinn;Thorfinn;Thorfinn;;Thorfinn;;;;;;;;;x
PROV34;Straumfjord;Straumfjord;Straumfjord;;Straumfjord;;;;;;;;;x
PROV35;Sheshatshiu;Sheshatshiu;Sheshatshiu;;Sheshatshiu;;;;;;;;;x
PROV36;Straumsöy;Straumsöy;Straumsöy;;Straumsöy;;;;;;;;;x
PROV37;Karlsefni;Karlsefni;Karlsefni;;Karlsefni;;;;;;;;;x
PROV38;Manicouagan;Manicouagan;Manicouagan;;Manicouagan;;;;;;;;;x
PROV39;Joswi;Joswi;Joswi;;Joswi;;;;;;;;;x
PROV40;Kakatshihip;Kakatshihip;Kakatshihip;;Kakatshihip;;;;;;;;;x
PROV41;Anticosti;Anticosti;Anticosti;;Anticosti;;;;;;;;;x
PROV42;Chicoutimi;Chicoutimi;Chicoutimi;;Chicoutimi;;;;;;;;;x
PROV43;Cacaoni;Cacaoni;Cacaoni;;Cacaoni;;;;;;;;;x
PROV44;Brule;Brule;Brule;;Brule;;;;;;;;;x
