#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_chibchan;Chibchan;Chibchan;Chibchan;;Chibchan;;;;;;;;;x
k_chibchan_adj;Chibchanian;Chibchanian;Chibchanian;;Chibchanian;;;;;;;;;x
d_chorotegano;Chorotegano;Chorotegano;Chorotegano;;Chorotegano;;;;;;;;;x
d_chorotegano_adj;Choroteganon;Choroteganon;Choroteganon;;Choroteganon;;;;;;;;;x
c_kruta;Kruta;Kruta;Kruta;;Kruta;;;;;;;;;x
c_kruta_adj;Krutan;Krutan;Krutan;;Krutan;;;;;;;;;x
b_kruta;Kruta;Kruta;Kruta;;Kruta;;;;;;;;;x
b_sumu;Sumu;Sumu;Sumu;;Sumu;;;;;;;;;x
b_panamahka;Panamahka;Panamahka;Panamahka;;Panamahka;;;;;;;;;x
c_caratasca;Caratasca;Caratasca;Caratasca;;Caratasca;;;;;;;;;x
c_caratasca_adj;Caratascan;Caratascan;Caratascan;;Caratascan;;;;;;;;;x
b_caratasca;Caratasca;Caratasca;Caratasca;;Caratasca;;;;;;;;;x
b_ulwa;Ulwa;Ulwa;Ulwa;;Ulwa;;;;;;;;;x
b_mayangna;Mayangna;Mayangna;Mayangna;;Mayangna;;;;;;;;;x
c_tawahka;Tawahka;Tawahka;Tawahka;;Tawahka;;;;;;;;;x
c_tawahka_adj;Tawahkan;Tawahkan;Tawahkan;;Tawahkan;;;;;;;;;x
b_tawahka;Tawahka;Tawahka;Tawahka;;Tawahka;;;;;;;;;x
b_olancho;Olancho;Olancho;Olancho;;Olancho;;;;;;;;;x
b_rama;Rama;Rama;Rama;;Rama;;;;;;;;;x
d_niquirano;Niquirano;Niquirano;Niquirano;;Niquirano;;;;;;;;;x
d_niquirano_adj;Niquiranon;Niquiranon;Niquiranon;;Niquiranon;;;;;;;;;x
c_yulu;Yulu;Yulu;Yulu;;Yulu;;;;;;;;;x
c_yulu_adj;Yulun;Yulun;Yulun;;Yulun;;;;;;;;;x
b_yulu;Yulu;Yulu;Yulu;;Yulu;;;;;;;;;x
b_bawihka;Bawihka;Bawihka;Bawihka;;Bawihka;;;;;;;;;x
b_miskitu;Miskitu;Miskitu;Miskitu;;Miskitu;;;;;;;;;x
c_cayo;Cayo;Cayo;Cayo;;Cayo;;;;;;;;;x
c_cayo_adj;Cayon;Cayon;Cayon;;Cayon;;;;;;;;;x
b_cayo;Cayo;Cayo;Cayo;;Cayo;;;;;;;;;x
b_tologalpa;Tologalpa;Tologalpa;Tologalpa;;Tologalpa;;;;;;;;;x
b_taguzgalpa;Taguzgalpa;Taguzgalpa;Taguzgalpa;;Taguzgalpa;;;;;;;;;x
c_julgalpa;Julgalpa;Julgalpa;Julgalpa;;Julgalpa;;;;;;;;;x
c_julgalpa_adj;Julgalpan;Julgalpan;Julgalpan;;Julgalpan;;;;;;;;;x
b_julgalpa;Julgalpa;Julgalpa;Julgalpa;;Julgalpa;;;;;;;;;x
b_xolotlan;Xolotlan;Xolotlan;Xolotlan;;Xolotlan;;;;;;;;;x
b_chontal;Chontal;Chontal;Chontal;;Chontal;;;;;;;;;x
b_acahualinca;Acahualinca;Acahualinca;Acahualinca;;Acahualinca;;;;;;;;;x
d_ngabe;Ngabe;Ngabe;Ngabe;;Ngabe;;;;;;;;;x
d_ngabe_adj;Ngabere;Ngäbere;Ngäbere;;Ngäbere;;;;;;;;;x
c_hojancha;Hojancha;Hojancha;Hojancha;;Hojancha;;;;;;;;;x
c_hojancha_adj;Hojanchan;Hojanchan;Hojanchan;;Hojanchan;;;;;;;;;x
b_hojancha;Hojancha;Hojancha;Hojancha;;Hojancha;;;;;;;;;x
b_nicoya;Nicoya;Nicoya;Nicoya;;Nicoya;;;;;;;;;x
b_nosara;Nosara;Nosara;Nosara;;Nosara;;;;;;;;;x
c_jaco;Jaco;Jaco;Jacó;;Jacó;;;;;;;;;x
c_jaco_adj;Jacon;Jacon;Jacón;;Jacón;;;;;;;;;x
b_maleku;Maleku;Maleku;Maleku;;Maleku;;;;;;;;;x
b_jaco;Jaco;Jaco;Jacó;;Jacó;;;;;;;;;x
c_upala;Upala;Upala;Upala;;Upala;;;;;;;;;x
c_upala_adj;Upalan;Upalan;Upalan;;Upalan;;;;;;;;;x
b_upala;Upala;Upala;Upala;;Upala;;;;;;;;;x
b_voto;Voto;Voto;Voto;;Voto;;;;;;;;;x
b_corobici;Corobici;Corobici;Corobici;;Corobici;;;;;;;;;x
c_guanacaste;Guanacaste;Guanacaste;Guanacaste;;Guanacaste;;;;;;;;;x
c_guanacaste_adj;Guanan;Guanan;Guanan;;Guanan;;;;;;;;;x
b_guanacaste;Guanacaste;Guanacaste;Guanacaste;;Guanacaste;;;;;;;;;x
b_cueva;Cueva;Cueva;Cueva;;Cueva;;;;;;;;;x
